id,title,category,difficulty,learningObjectives,mission,hints,assessment
1,Hello World,พื้นฐาน,Beginner,"เข้าใจการสั่งให้โปรแกรมแสดงข้อความพื้นฐาน และได้ลองรันโปรแกรมครั้งแรก","ให้ตัวละครพูดว่า 'สวัสดี โลก!' เมื่อกดรัน","มองหาบล็อกที่เกี่ยวกับแสดงข้อความ/print แล้วพิมพ์ข้อความลงไป","ผ่านเมื่อรันแล้วเห็นข้อความที่ต้องการ"
2,ตัวแปรและข้อมูล,พื้นฐาน,Beginner,"เข้าใจแนวคิดตัวแปรและการเก็บค่าสำหรับใช้งานซ้ำ","เก็บชื่อผู้เล่นในตัวแปร แล้วให้ตัวละครทักทายโดยใช้ชื่อนั้น","สร้างตัวแปรใหม่ ตั้งชื่อ แล้วใช้บล็อกแทรกค่าตัวแปรในข้อความ","ผ่านเมื่อข้อความทักทายแสดงชื่อที่เก็บในตัวแปร"
3,เงื่อนไข If-Else,พื้นฐาน,Beginner,"เข้าใจการตัดสินใจด้วยเงื่อนไข if-else และการเปลี่ยนพฤติกรรมของโปรแกรม","ให้ตัวละครถามว่า 'คุณมีเหรียญหรือไม่?' ถ้ามีให้ไปทางขวา ถ้าไม่มีให้ไปทางซ้าย","ใช้บล็อก if/else และตั้งตัวแปร boolean หรือเปรียบเทียบค่า","ผ่านเมื่อตัวละครเลือกทางต่างกันตามค่าที่กำหนด"
4,Loop พื้นฐาน,พื้นฐาน,Beginner,"เข้าใจการทำซ้ำด้วย loop (for/repeat)","ให้ตัวละครเดินไปข้างหน้า 4 ช่อง โดยใช้บล็อกวนซ้ำ","มองหาบล็อก repeat / loop แล้วใส่บล็อกเดินไว้ข้างใน พร้อมตั้งค่า 4 รอบ","ผ่านเมื่อตัวละครไปถึงตำแหน่งที่ถูกต้องโดยใช้ loop"
5,List/Array,พื้นฐาน,Beginner,"รู้จักคอนเซ็ปต์ของ list/array และการเก็บชุดค่าหลายค่า","เก็บตำแหน่งดาวไว้เป็นลิสต์ แล้วให้ตัวละครเก็บดาวทีละตำแหน่ง","สร้างลิสต์ ใส่พิกัดดาว แล้ววนลิสต์เพื่อไปแต่ละตำแหน่ง","ผ่านเมื่อตัวละครเก็บดาวทุกรายการจากลิสต์สำเร็จ"
6,Indexing,พื้นฐาน,Beginner,"เข้าใจการเข้าถึงค่าจาก list ด้วยดัชนี (index)","ให้ตัวละครอ่านตำแหน่งที่ 2 จากลิสต์แล้วเดินไปยังตำแหน่งนั้น","ใช้บล็อก get/element at index และระวังการเริ่มนับ index (0 หรือ 1)","ผ่านเมื่อตัวละครไปยังตำแหน่งที่ได้จากการดึงค่า index ถูกต้อง"
7,ฟังก์ชัน,พื้นฐาน,Beginner,"เข้าใจการสร้างและเรียกใช้งานฟังก์ชันเพื่อจัดกลุ่มคำสั่งซ้ำ","สร้างฟังก์ชัน moveToGoal() ที่เมื่อนำมาเรียกแล้วตัวละครจะไปยังธง","สร้างฟังก์ชันใหม่ในบล็อก แล้วย้ายชุดคำสั่งเดินไปไว้ในฟังก์ชันนั้น","ผ่านเมื่อเรียกฟังก์ชันแล้วตัวละครไปถึงธง"
8,Input,พื้นฐาน,Beginner,"เรียนรู้การรับค่าจากผู้ใช้ (input) และนำไปใช้ในโปรแกรม","ให้ผู้เล่นพิมพ์จำนวนก้าว แล้วตัวละครเดินตามจำนวนที่พิมพ์","หา block รับค่า input แล้วแปลงเป็นตัวเลขก่อนใช้ใน loop","ผ่านเมื่อโปรแกรมรับค่าจากผู้เล่นและตัวละครเดินตามจำนวนที่ป้อน"
9,คณิตศาสตร์,พื้นฐาน,Beginner,"เข้าใจการใช้การคำนวณพื้นฐาน (+, -, *, /) ในโปรแกรม","ให้ตัวละครคำนวณจำนวนก้าวที่ต้องเดิน (เช่น ระยะ - อุปสรรค) แล้วเดินตามผล","ใช้บล็อกคำนวณ แปลงค่าเป็นตัวเลข และตรวจค่าไม่เป็นลบ","ผ่านเมื่อตัวละครเดินตามผลลัพธ์การคำนวณที่ถูกต้อง"
10,บอส: เครื่องคิดเลข,พื้นฐาน,Intermediate,"รวมทักษะตัวแปร, input, คณิตศาสตร์ และฟังก์ชัน เพื่อสร้างแอปเล็ก ๆ","สร้างเครื่องคิดเลขที่รับสองตัวเลขและการดำเนินการ (+, -, *, /) แล้วแสดงผล","แยกหน้าที่เป็นฟังก์ชัน รับค่าแล้วคำนวณ ใช้ if-else เลือกการดำเนินการ","ผ่านเมื่อเครื่องคิดเลขให้ผลถูกต้องในกรณีบวก ลบ คูณ หาร และจัดการหารด้วยศูนย์ได้"
